pelicula_id,actor,personaje
49,Akari Kito,Nezuko Kamado (voice)
49,Hiro Shimono,Zenitsu Agatsuma (voice)
49,Yoshitsugu Matsuoka,Inosuke Hashibira (voice)
49,Satoshi Hino,Kyojuro Rengoku (voice)
49,Takahiro Sakurai,Giyū Tomioka (voice)
49,Katsuyuki Konishi,Tengen Uzui (voice)
49,Saori Hayami,Shinobu Kocho (voice)
49,Kenichi Suzumura,Obanai Iguro (voice)
50,Natalia Solián,Valeria
50,Alfonso Dosal,Raúl
50,Mayra Batalla,Octavia
50,Mercedes Hernández,Isabel
50,Aida López,Maricarmen
50,Martha Claudia Moreno,Ursula
50,Enoc Leaño,Luis
50,Pablo Guisa Koestinger,Vecino (cameo)
50,Sonia Couoh,Vero
51,Germán Palacios,Juan Conte
51,Victoria Almeida,María
51,Gloria Carrá,
51,César Bordón,Tomás Rubio
51,Germán de Silva,
51,Miguel Jordán,
51,Héctor Calori,
51,María Inés Banegas,
51,Daniel Miglioranza,Doctor
52,Kang Soo-youn,Seo-hyun
52,Kim Hyun-joo,Jung-yi
52,Ryu Kyung-soo,Sang-hoon
52,Uhm Ji-won,Se-yeon
52,Lee Dong-hee,Chairman
52,Han Woo-yeol,Jae-kyung
52,Lee Ga-kyung,Researcher 2
52,Shin Min-jae,Researcher 3
52,Kim Sun-hyuk,Researcher 5
53,Tom Hanks,Otto Anderson
53,Mariana Treviño,Marisol
53,Rachel Keller,Sonya
53,Manuel Garcia-Rulfo,Tommy
53,Cameron Britton,Jimmy
53,Kailey Hyman,Barb
53,Mike Birbiglia,Real Estate Agent
53,Elle Chapman,Sarah
53,Joe Fishel,Army Doctor
54,Woody Harrelson,Marcus
54,Kaitlin Olson,Alex
54,Cheech Marin,Julio
54,Matt Cook,Sonny
54,Ernie Hudson,Coach Phil Peretti
54,Madison Tevlin,Cosentino
54,Joshua Felder,Darius
54,Kevin Iannucci,Johnny
54,Ashton Gunning,Cody
55,Chris Pine,Edgin Darvis
55,Michelle Rodriguez,Holga Kilgore
55,Regé-Jean Page,Xenk Yendar
55,Justice Smith,Simon Aumar
55,Sophia Lillis,Doric
55,Hugh Grant,Forge Fitzwilliam
55,Jason Wong,Dralas
55,Chloe Coleman,Kira Darvis
55,Daisy Head,Sofina the Red Wizard
56,Ine Marie Wilmann,Nora Tidemann
56,Kim S. Falck-Jørgensen,Andreas Isaksen
56,Mads Sjøgård Pettersen,Kristoffer
56,Gard B. Eidsvold,Tobias Tidemann
56,Anneke von der Lippe,Statsminister Berit Moberg
56,Dennis Storhøi,Forsvarssjef General Sverre Lunde
56,Karoline Viktoria Sletteng Garvang,Sigrid Hodne
56,Yusuf Toosh Ibra,Amir
56,Ameli Olving Sælevik,Unge Nora Tidemann
57,James Marsden,Tom Wachowski
57,Ben Schwartz,Sonic the Hedgehog (voice)
57,Tika Sumpter,Maddie Wachowski
57,Natasha Rothwell,Rachel
57,Adam Pally,Wade Whipple
57,Shemar Moore,Randall
57,Colleen O'Shaughnessey,Miles 'Tails' Prower (voice)
57,Lee Majdoub,Agent Stone
57,Idris Elba,Knuckles the Echidna (voice)
58,Robert De Niro,Lorenzo Anello
58,Chazz Palminteri,Sonny LoSpecchio
58,Lillo Brancato,"Calogero ""C"" Anello (Age 17)"
58,Francis Capra,"Calogero ""C"" Anello (Age 9)"
58,Taral Hicks,Jane Williams
58,Kathrine Narducci,Rosina Anello
58,Clem Caserta,Jimmy Whispers
58,Alfred Sauchelli Jr.,Bobby Bars
58,Frank Pietrangolare,Danny K.O.
59,Daniil Medvedev,Mic-Mic (voice)
59,Bernard Jacobsen,Don Vulture (voice)
59,Stephen Thomas Ochsner,Oscar (voice) (as Steven Ochsner)
59,Liza Klimova,Michaela / Squirrel (voice)
59,Kate Lann,Mary Grizzly / Stork Fan 1 (voice)
59,Jonathan Salway,Old Stork (voice)
59,Jordan Worsley,Billy (voice)
59,David Andrew Grout,Karl (voice) (as David Grout)
59,Andrey Kurganov,Arnold / Big Hyena / Elk (voice)
60,Lin-Manuel Miranda,Host - Self
60,Stephanie Beatriz,Mirabel Madrigal
60,Adassa,Dolores Madrigal
60,Carolina Gaitán,Pepa Madrigal
60,Jessica Darrow,Luisa Madrigal
60,Diane Guerrero,Isabela Madrigal
60,Mauro Castillo,Félix Madrigal
60,Angie Cepeda,Julieta Madrigal
60,Olga Merediz,Abuela Alma Madrigal
